Timestamp,Source_Sat,Destination_Network,Next_Hop_IP
103013,STARLINK-1478,192.168.26.144/30,192.168.11.114
103013,STARLINK-1478,192.168.11.120/30,192.168.11.114
103013,STARLINK-1478,192.168.30.52/30,192.168.11.118
103013,STARLINK-1478,192.168.4.40/30,192.168.11.118
103013,STARLINK-1478,192.168.19.68/30,192.168.11.118
103013,STARLINK-1478,192.168.10.220/30,192.168.11.118
103013,STARLINK-1478,192.168.28.12/30,192.168.11.118
103013,STARLINK-1478,192.168.27.188/30,192.168.11.118
103013,STARLINK-1478,192.168.1.12/30,192.168.11.118
103013,STARLINK-1478,192.168.1.8/30,192.168.11.118
103013,STARLINK-1478,192.168.28.172/30,192.168.11.118
103013,STARLINK-2159,192.168.30.52/30,192.168.26.85
103013,STARLINK-2159,192.168.4.40/30,192.168.26.85
103013,STARLINK-2159,192.168.19.68/30,192.168.26.85
103013,STARLINK-2159,192.168.10.220/30,192.168.26.85
103013,STARLINK-2159,192.168.28.12/30,192.168.26.85
103013,STARLINK-2159,192.168.27.188/30,192.168.26.85
103013,STARLINK-2159,192.168.1.12/30,192.168.26.85
103013,STARLINK-2159,192.168.1.8/30,192.168.26.85
103013,STARLINK-2159,192.168.28.172/30,192.168.26.85
103013,STARLINK-2159,192.168.11.116/30,192.168.26.85
103013,STARLINK-2159,192.168.11.112/30,192.168.26.85
103013,STARLINK-2159,192.168.11.120/30,192.168.26.85
103013,STARLINK-2159,192.168.26.144/30,192.168.26.85
103013,STARLINK-2159,192.168.26.88/30,192.168.26.85
103013,STARLINK-1511,192.168.26.84/30,192.168.11.121
103013,STARLINK-1511,192.168.26.88/30,192.168.11.121
103013,STARLINK-1511,192.168.26.144/30,192.168.11.121
103013,STARLINK-1511,192.168.30.52/30,192.168.11.113
103013,STARLINK-1511,192.168.4.40/30,192.168.11.113
103013,STARLINK-1511,192.168.19.68/30,192.168.11.113
103013,STARLINK-1511,192.168.10.220/30,192.168.11.113
103013,STARLINK-1511,192.168.28.12/30,192.168.11.113
103013,STARLINK-1511,192.168.27.188/30,192.168.11.113
103013,STARLINK-1511,192.168.1.12/30,192.168.11.113
103013,STARLINK-1511,192.168.1.8/30,192.168.11.113
103013,STARLINK-1511,192.168.28.172/30,192.168.11.113
103013,STARLINK-1511,192.168.11.116/30,192.168.11.113
103013,STARLINK-1054,192.168.26.84/30,192.168.1.10
103013,STARLINK-1054,192.168.26.88/30,192.168.1.10
103013,STARLINK-1054,192.168.26.144/30,192.168.1.10
103013,STARLINK-1054,192.168.11.120/30,192.168.1.10
103013,STARLINK-1054,192.168.11.112/30,192.168.1.10
103013,STARLINK-1054,192.168.11.116/30,192.168.1.10
103013,STARLINK-1054,192.168.28.172/30,192.168.1.10
103013,STARLINK-1054,192.168.30.52/30,192.168.1.14
103013,STARLINK-1054,192.168.4.40/30,192.168.1.14
103013,STARLINK-1054,192.168.19.68/30,192.168.1.14
103013,STARLINK-1054,192.168.10.220/30,192.168.1.14
103013,STARLINK-1054,192.168.28.12/30,192.168.1.14
103013,STARLINK-1054,192.168.27.188/30,192.168.1.14
103013,STARLINK-1471,192.168.26.84/30,192.168.28.13
103013,STARLINK-1471,192.168.26.88/30,192.168.28.13
103013,STARLINK-1471,192.168.26.144/30,192.168.28.13
103013,STARLINK-1471,192.168.11.120/30,192.168.28.13
103013,STARLINK-1471,192.168.11.112/30,192.168.28.13
103013,STARLINK-1471,192.168.11.116/30,192.168.28.13
103013,STARLINK-1471,192.168.28.172/30,192.168.28.13
103013,STARLINK-1471,192.168.1.8/30,192.168.28.13
103013,STARLINK-1471,192.168.1.12/30,192.168.28.13
103013,STARLINK-1471,192.168.27.188/30,192.168.28.13
103013,STARLINK-1471,192.168.30.52/30,192.168.10.222
103013,STARLINK-1471,192.168.4.40/30,192.168.10.222
103013,STARLINK-1471,192.168.19.68/30,192.168.10.222
103013,STARLINK-1791,192.168.26.84/30,192.168.30.53
103013,STARLINK-1791,192.168.26.88/30,192.168.30.53
103013,STARLINK-1791,192.168.26.144/30,192.168.30.53
103013,STARLINK-1791,192.168.11.120/30,192.168.30.53
103013,STARLINK-1791,192.168.11.112/30,192.168.30.53
103013,STARLINK-1791,192.168.11.116/30,192.168.30.53
103013,STARLINK-1791,192.168.28.172/30,192.168.30.53
103013,STARLINK-1791,192.168.1.8/30,192.168.30.53
103013,STARLINK-1791,192.168.1.12/30,192.168.30.53
103013,STARLINK-1791,192.168.27.188/30,192.168.30.53
